date,method,t,interval,price_yuan_per_kwh,load_kwh,pv_kwh,load_hat_kwh,pv_hat_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,pv_used_kwh,plan_used_kwh,curtailment_kwh,unused_plan_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,stochastic,10,01:40-01:50,0.4333,448.025966667,0,597.11192381,0,642.330230952,0,-0,0,0,448.025966667,0,194.304264286,6093.09016714,6093.09016714,278.321689072,0,278.321689072
2025-02-01,stochastic,11,01:50-02:00,0.4311,397.403333333,0,593.150238095,0,675.170952381,0,-0,0,0,397.403333333,0,277.767619048,6093.09016714,6093.09016714,291.066197571,0,291.066197571
2025-02-01,stochastic,12,02:00-02:10,0.4293,434.090633333,0,596.288135714,0,653.43942619,0,-0,0,0,434.090633333,0,219.348792857,6093.09016714,6093.09016714,280.521545664,0,280.521545664
2025-02-01,stochastic,13,02:10-02:20,0.4324,490.560916667,0,607.032185714,0,682.380902381,0,-0,0,0,490.560916667,0,191.819985714,6093.09016714,6093.09016714,295.06150219,0,295.06150219
2025-02-01,stochastic,14,02:20-02:30,0.4367,503.22,0,615.645952381,0,677.455238095,0,-0,0,0,503.22,0,174.235238095,6093.09016714,6093.09016714,295.844702476,0,295.844702476
2025-02-01,stochastic,15,02:30-02:40,0.4348,474.072816667,0,613.09037381,0,662.881878571,0,-0,0,0,474.072816667,0,188.809061905,6093.09016714,6093.09016714,288.221040803,0,288.221040803
2025-02-01,stochastic,16,02:40-02:50,0.4335,461.3844,0,620.447816667,0,665.929861571,0,-0,0,0,461.3844,0,204.545461571,6093.09016714,6093.09016714,288.680594991,0,288.680594991
2025-02-01,stochastic,17,02:50-03:00,0.4357,476.941666667,0,632.623809524,0,689.218571429,0,-0,0,0,476.941666667,0,212.276904762,6093.09016714,6093.09016714,300.292531571,0,300.292531571
2025-02-01,stochastic,18,03:00-03:10,0.4374,483.39955,0,624.69177619,0,688.542583333,0,-0,0,0,483.39955,0,205.143033333,6093.09016714,6093.09016714,301.16852595,0,301.16852595
2025-02-01,stochastic,19,03:10-03:20,0.4371,486.601916667,0,625.613111905,0,679.079028571,0,-0,0,0,486.601916667,0,192.477111905,6093.09016714,6093.09016714,296.825443389,0,296.825443389
2025-02-01,stochastic,20,03:20-03:30,0.4356,498.848333333,0,634.312142857,0,709.826666667,0,-0,0,0,498.848333333,0,210.978333333,6093.09016714,6093.09016714,309.200496,0,309.200496
2025-02-01,stochastic,21,03:30-03:40,0.4353,518.309733333,0,622.396009524,0,686.134585714,0,-0,0,0,518.309733333,0,167.824852381,6093.09016714,6093.09016714,298.674385161,0,298.674385161
2025-02-01,stochastic,22,03:40-03:50,0.436,509.133466667,0,625.580283333,0,676.787328571,0,-0,0,0,509.133466667,0,167.653861905,6093.09016714,6093.09016714,295.079275257,0,295.079275257
2025-02-01,stochastic,23,03:50-04:00,0.4378,483.616666667,0,647.30952381,0,695.389285714,0,-0,0,0,483.616666667,0,211.772619048,6093.09016714,6093.09016714,304.441429286,0,304.441429286
2025-02-01,stochastic,24,04:00-04:10,0.4401,491.1868,0,653.515354762,0,693.758311571,0,-0,0,0,491.1868,0,202.571511571,6093.09016714,6093.09016714,305.323032923,0,305.323032923
2025-02-01,stochastic,25,04:10-04:20,0.4389,504.645283333,0,654.594166667,0,702.26732619,0,-0,0,0,504.645283333,0,197.622042857,6093.09016714,6093.09016714,308.225129465,0,308.225129465
2025-02-01,stochastic,26,04:20-04:30,0.4364,505.578333333,0,658.835952381,0,737.41047619,0,-0,0,0,505.578333333,0,231.832142857,6093.09016714,6093.09016714,321.80593181,0,321.80593181
2025-02-01,stochastic,27,04:30-04:40,0.4393,503.230966667,0,660.101390476,0,727.711211905,0,-0,0,0,503.230966667,0,224.480245238,6093.09016714,6093.09016714,319.68353539,0,319.68353539
2025-02-01,stochastic,28,04:40-04:50,0.4422,502.846983333,0.000233333333333,650.454664286,0.000230952380952,698.6428,0,-0,0,0.000233333333333,502.84675,0,195.79605,6093.09016714,6093.09016714,308.93984616,0,308.93984616
2025-02-01,stochastic,29,04:50-05:00,0.4395,499.641666667,0,641.822619048,0,691.383333333,0,-0,0,0,499.641666667,0,191.741666667,6093.09016714,6093.09016714,303.862975,0,303.862975
2025-02-01,stochastic,30,05:00-05:10,0.4333,488.783583333,0,656.325338095,0,714.764352381,0,-0,0,0,488.783583333,0,225.980769048,6093.09016714,6093.09016714,309.707393887,0,309.707393887
2025-02-01,stochastic,31,05:10-05:20,0.4439,498.51875,0.00331666666667,676.330164286,0.00326428571429,721.667407143,0,-0,0,0.00331666666667,498.515433333,0,223.15197381,6093.09016714,6093.09016714,320.348162031,0,320.348162031
2025-02-01,stochastic,32,05:20-05:30,0.4301,529.223333333,0,676.698571429,0,740.517857143,0,-0,0,0,529.223333333,0,211.29452381,6093.09016714,6093.09016714,318.496730357,0,318.496730357
2025-02-01,stochastic,33,05:30-05:40,0.3713,547.410316667,0,658.046619048,0,1537.52818571,635.157149559,0,0,0,1182.56746623,0,354.960719489,6093.09016714,6664.73160175,570.884215356,0,570.884215356
2025-02-01,stochastic,34,05:40-05:50,0.5708,531.2274,0.0462333333333,707.440304762,0.045430952381,754.896254762,47.5013809524,0,0,0.0462333333333,578.682547619,0,176.213707143,6664.73160175,6707.4828446,430.894782218,0,430.894782218
2025-02-01,stochastic,35,05:50-06:00,0.9099,510.983333333,0,798.094285714,0,871.964761905,176.690678571,0,0,0,687.674011905,0,184.29075,6707.4828446,6866.50445532,793.400736857,0,793.400736857
2025-02-01,stochastic,36,06:00-06:10,0.9368,535.187183333,0,811.721683333,0,166.845240524,0,368.34194281,1.13686837722e-13,0,166.845240524,0,0,6866.50445532,6457.23562997,156.300621323,5.32509147888e-13,156.300621323
2025-02-01,stochastic,37,06:10-06:20,0.8758,533.99935,0.644016666667,802.950033333,0.632785714286,905.13745,0,-0,0,0.644016666667,533.355333333,0,371.782116667,6457.23562997,6457.23562997,792.71937871,0,792.71937871
2025-02-01,stochastic,38,06:20-06:30,0.8759,504.52,0,807.012142857,0,877.345714286,0,-0,0,0,504.52,0,372.825714286,6457.23562997,6457.23562997,768.467111143,0,768.467111143
2025-02-01,stochastic,39,06:30-06:40,0.8601,519.553683333,0,805.059221429,0,881.727683333,0,-0,0,0,519.553683333,0,362.174,6457.23562997,6457.23562997,758.373980435,0,758.373980435
2025-02-01,stochastic,40,06:40-06:50,0.8442,566.415,14.9349166667,816.753507143,10.5857452381,874.474159524,0,-0,0,14.9349166667,551.480083333,0,322.99407619,6457.23562997,6457.23562997,738.23108547,0,738.23108547
2025-02-01,stochastic,41,06:50-07:00,0.8334,608.791666667,56.75,835.477857143,46.0491071429,850.915654762,0,-0,0,56.75,552.041666667,0,298.873988095,6457.23562997,6457.23562997,709.153106679,0,709.153106679
2025-02-01,stochastic,42,07:00-07:10,0.8092,617.21405,102.656,832.635290476,87.7346904762,855.097702381,45.5918208113,0,0,102.656,560.149870811,0,294.94783157,6457.23562997,6498.2682687,691.945060767,0,691.945060767
2025-02-01,stochastic,43,07:10-07:20,0.7972,595.396466667,147.487916667,835.842235714,132.301157143,808.266595238,104.725516667,0,0,147.487916667,552.634066667,0,255.632528571,6498.2682687,6592.5212337,644.350129724,0,644.350129724
2025-02-01,stochastic,44,07:20-07:30,0.7644,579.536666667,190.1125,834.53,178.895535714,770.3375,114.703035714,0,0,190.1125,504.127202381,0,266.210297619,6592.5212337,6695.75396585,588.845985,0,588.845985
2025-02-01,stochastic,45,07:30-07:40,0.6899,609.000366667,231.346616667,808.419164286,226.370540476,1468.78310476,833.333333333,0,0,231.346616667,1210.98708333,0,257.796021429,6695.75396585,7445.75396585,1013.31346398,0,1013.31346398
2025-02-01,stochastic,46,07:40-07:50,0.86,640.236683333,279.075333333,898.632264286,275.22212381,716.905052381,93.4949119048,0,0,279.075333333,454.656261905,0,262.248790476,7445.75396585,7529.89938656,616.538345048,0,616.538345048
2025-02-01,stochastic,47,07:50-08:00,1.1617,633.941666667,334.01875,1052.48047619,325.691071429,93.0389880952,0,206.883928571,2.84217094304e-14,334.01875,93.0389880952,0,0,7529.89938656,7300.02835481,108.08339247,1.65087499227e-13,108.08339247
2025-02-01,stochastic,48,08:00-08:10,1.1683,590.91065,388.684416667,1061.74904524,376.797338095,69.1593285714,0,133.066904762,0,388.684416667,69.1593285714,0,0,7300.02835481,7152.17623841,80.79884357,0,80.79884357
2025-02-01,stochastic,49,08:10-08:20,1.0956,568.558166667,438.765566667,1030.34817857,425.628716667,0,0,129.7926,2.84217094304e-14,438.765566667,0,0,0,7152.17623841,7007.96223841,0,1.5569412426e-13,1.5569412426e-13
2025-02-01,stochastic,50,08:20-08:30,1.0849,574.228333333,487.94375,1035.12904762,474.628571429,0,0,86.2845833333,0,487.94375,0,0,0,7007.96223841,6912.09047915,0,0,0
2025-02-01,stochastic,51,08:30-08:40,1.061,577.852316667,541.883166667,1049.14059286,528.653283333,0,0,35.96915,2.13162820728e-14,541.883166667,0,0,0,6912.09047915,6872.12475693,0,1.13082876396e-13,1.13082876396e-13
2025-02-01,stochastic,52,08:40-08:50,1.043,649.080033333,586.6261,1061.10217857,579.279185714,0,0,62.4539333333,1.13686837722e-13,586.6261,0,0,0,6872.12475693,6802.73149767,0,5.92876858718e-13,5.92876858718e-13
2025-02-01,stochastic,53,08:50-09:00,1.036,737.126666667,621.95,1069.38214286,623.63125,0,0,115.176666667,0,621.95,0,0,0,6802.73149767,6674.7574236,0,0,0
2025-02-01,stochastic,54,09:00-09:10,1.0147,711.253416667,665.4293,1074.49542143,667.886564286,0,0,45.8241166667,1.56319401867e-13,665.4293,0,0,0,6674.7574236,6623.84173841,0,7.93086485373e-13,7.93086485373e-13
2025-02-01,stochastic,55,09:10-09:20,0.9922,698.3617,729.7222,1068.18289286,718.11577381,0,0,-0,0,698.3617,0,31.3605,0,6623.84173841,6623.84173841,0,0,0
2025-02-01,stochastic,56,09:20-09:30,0.97,736.386666667,798.0875,1058.8797619,766.974107143,0,0,-0,0,736.386666667,0,61.7008333333,0,6623.84173841,6623.84173841,0,0,0
2025-02-01,stochastic,57,09:30-09:40,0.9422,733.212566667,838.320683333,1064.32351905,801.088016667,242.149016381,0,-0,0,733.212566667,0,105.108116667,242.149016381,6623.84173841,6623.84173841,228.152803234,0,228.152803234
2025-02-01,stochastic,58,09:40-09:50,0.9569,697.122366667,867.319616667,1064.79737381,835.447240476,0,0,-0,0,697.122366667,0,170.19725,0,6623.84173841,6623.84173841,0,0,0
2025-02-01,stochastic,59,09:50-10:00,0.9977,678.588333333,894.01875,1055.75928571,876.715178571,0,0,-0,0,678.588333333,0,215.430416667,0,6623.84173841,6623.84173841,0,0,0
2025-02-01,stochastic,60,10:00-10:10,0.9919,711.4322,911.849833333,1052.69978571,917.497585714,0,0,-0,0,711.4322,0,200.417633333,0,6623.84173841,6623.84173841,0,0,0
2025-02-01,stochastic,61,10:10-10:20,0.9588,706.70705,933.627233333,1052.43715,956.041454762,0,0,-0,0,706.70705,0,226.920183333,0,6623.84173841,6623.84173841,0,0,0
2025-02-01,stochastic,62,10:20-10:30,0.9549,666.993333333,959.21875,1051.01285714,983.504464286,0,0,-0,0,666.993333333,0,292.225416667,0,6623.84173841,6623.84173841,0,0,0
2025-02-01,stochastic,63,10:30-10:40,0.9839,678.720433333,979.808166667,1047.28428095,990.367407143,0,0,-0,0,678.720433333,0,301.087733333,0,6623.84173841,6623.84173841,0,0,0
2025-02-01,stochastic,64,10:40-10:50,0.799,678.1305,1021.3479,1035.47620476,998.286088095,180.82237619,0,-0,0,678.1305,0,343.2174,180.82237619,6623.84173841,6623.84173841,144.477078576,0,144.477078576
2025-02-01,stochastic,65,10:50-11:00,0.5025,652.925,1060.275,1025.82928571,1018.60625,929.217678571,0,-0,0,652.925,0,407.35,929.217678571,6623.84173841,6623.84173841,466.931883482,0,466.931883482
2025-02-01,stochastic,66,11:00-11:10,0.4662,657.69435,1046.17781667,1034.12403333,1040.80779048,946.028795238,0,-0,0,657.69435,0,388.483466667,946.028795238,6623.84173841,6623.84173841,441.03862434,0,441.03862434
2025-02-01,stochastic,67,11:10-11:20,0.5007,656.101716667,1051.34178333,1031.30416429,1041.43809524,996.763128571,0,-0,0,656.101716667,0,395.240066667,996.763128571,6623.84173841,6623.84173841,499.079298476,0,499.079298476
2025-02-01,stochastic,68,11:20-11:30,0.4827,654.535,1099.0625,1019.75119048,1033.46785714,995.019285714,0,-0,0,654.535,0,444.5275,995.019285714,6623.84173841,6623.84173841,480.295809214,0,480.295809214
2025-02-01,stochastic,69,11:30-11:40,0.4785,692.20855,1136.31565,1026.07879762,1052.38990952,984.325235714,0,-0,0,692.20855,0,444.1071,984.325235714,6623.84173841,6623.84173841,470.999625289,0,470.999625289
2025-02-01,stochastic,70,11:40-11:50,0.4662,680.149483333,1128.41681667,1005.54542857,1067.32182381,931.960907143,0,-0,0,680.149483333,0,448.267333333,931.960907143,6623.84173841,6623.84173841,434.48017491,0,434.48017491
2025-02-01,stochastic,71,11:50-12:00,0.4432,640.033333333,1100.65625,964.74,1061.34017857,858.2475,0,-0,0,640.033333333,0,460.622916667,858.2475,6623.84173841,6623.84173841,380.375292,0,380.375292
2025-02-01,stochastic,72,12:00-12:10,0.4411,676.841383333,1105.4832,959.080114286,1048.15041667,888.115471429,0,-0,0,676.841383333,0,428.641816667,888.115471429,6623.84173841,6623.84173841,391.747734447,0,391.747734447
2025-02-01,stochastic,73,12:10-12:20,0.4551,663.0938,1089.48106667,962.005152381,1039.59432381,909.103830952,0,-0,0,663.0938,0,426.387266667,909.103830952,6623.84173841,6623.84173841,413.733153466,0,413.733153466
2025-02-01,stochastic,74,12:20-12:30,0.4463,594.021666667,1052.4125,954.52,1036.84553571,888.819702381,0,-0,0,594.021666667,0,458.390833333,888.819702381,6623.84173841,6623.84173841,396.680233173,0,396.680233173
2025-02-01,stochastic,75,12:30-12:40,0.4113,601.114166667,1052.09776667,949.37427381,1031.7749619,909.403995238,0,-0,0,601.114166667,0,450.9836,909.403995238,6623.84173841,6623.84173841,374.037863241,0,374.037863241
2025-02-01,stochastic,76,12:40-12:50,0.5682,633.335366667,1058.98975,969.21837619,1019.05792619,751.492088968,0,-0,0,633.335366667,0,425.654383333,751.492088968,6623.84173841,6623.84173841,426.997804951,0,426.997804951
2025-02-01,stochastic,77,12:50-13:00,0.8279,638.681666667,1052.225,998.43952381,1007.10982143,188.103869048,65.2101462311,0,0,703.891812898,0,348.333187102,188.103869048,6623.84173841,6682.53087002,155.731193185,0,155.731193185
2025-02-01,stochastic,78,13:00-13:10,0.8636,619.374233333,1041.02291667,996.360914286,1007.53230952,163.3446,174.515995238,0,0,793.890228571,0,247.132688095,163.3446,6682.53087002,6839.59526573,141.06439656,0,141.06439656
2025-02-01,stochastic,79,13:10-13:20,0.8416,606.5044,1029.22883333,983.027790476,994.537404762,145.729421429,568.453854762,0,0,1029.22883333,145.729421429,0,0,6839.59526573,7351.20373502,122.645881074,0,122.645881074
2025-02-01,stochastic,80,13:20-13:30,0.8618,607.013333333,1017.28125,977.990952381,968.966964286,151.625714286,0,-0,0,607.013333333,0,410.267916667,151.625714286,7351.20373502,7351.20373502,130.671040571,0,130.671040571
2025-02-01,stochastic,81,13:30-13:40,0.8623,606.318333333,998.79405,981.122907143,955.266371429,164.449442857,556.925159524,0,0,998.79405,164.449442857,0,0,7351.20373502,7852.43637859,141.804754576,0,141.804754576
2025-02-01,stochastic,82,13:40-13:50,0.9026,624.927216667,948.63435,978.735319048,929.283964286,0,0,-0,0,624.927216667,0,323.707133333,0,7852.43637859,7852.43637859,0,0,0
2025-02-01,stochastic,83,13:50-14:00,0.9754,641.645,875.1875,969.301666667,887.676785714,0,0,-0,0,641.645,0,233.5425,0,7852.43637859,7852.43637859,0,0,0
2025-02-01,stochastic,84,14:00-14:10,1.0002,612.723383333,815.623416667,963.513330952,852.068985714,0,202.900033333,0,0,815.623416667,0,2.27373675443e-13,0,7852.43637859,8035.04640859,0,0,0
2025-02-01,stochastic,85,14:10-14:20,0.9978,603.26775,769.536566667,959.483747619,811.344011905,0,166.268816667,0,0,769.536566667,0,4.54747350886e-13,0,8035.04640859,8184.68834359,0,0,0
2025-02-01,stochastic,86,14:20-14:30,1.0271,610.811666667,727.4,953.153571429,764.270535714,0,0,-0,0,610.811666667,0,116.588333333,0,8184.68834359,8184.68834359,0,0,0
2025-02-01,stochastic,87,14:30-14:40,1.0906,571.623083333,684.0674,943.798011905,722.570947619,0,112.444316667,0,0,684.0674,0,0,0,8184.68834359,8285.88822859,0,0,0
2025-02-01,stochastic,88,14:40-14:50,0.9376,554.5942,648.361433333,939.008740476,676.76722381,0,0,-0,0,554.5942,0,93.7672333333,0,8285.88822859,8285.88822859,0,0,0
2025-02-01,stochastic,89,14:50-15:00,0.6694,578.923333333,614.725,937.999761905,628.546428571,1256.4347619,0,-0,0,578.923333333,0,35.8016666667,1256.4347619,8285.88822859,8285.88822859,841.057429619,0,841.057429619
2025-02-01,stochastic,90,15:00-15:10,0.66,593.822,565.39285,933.375380952,589.890292857,1290.28025714,0,-0,0,565.39285,28.42915,0,1261.85110714,8285.88822859,8285.88822859,851.584969714,0,851.584969714
2025-02-01,stochastic,91,15:10-15:20,0.7217,603.370033333,505.435966667,932.631959524,547.962911905,1322.46414286,19.0810765726,0,0,505.435966667,117.015143239,0,1205.44899962,8285.88822859,8303.06119751,954.4223719,0,954.4223719
2025-02-01,stochastic,92,15:20-15:30,0.7308,608.655,450.6375,936.953571429,498.895535714,919.831034597,481.772998883,0,0,450.6375,639.790498883,0,280.040535714,8303.06119751,8736.6568965,672.212520084,0,672.212520084
2025-02-01,stochastic,93,15:30-15:40,0.7534,596.78865,413.6283,938.07517381,450.8008,619.132966667,131.858592857,0,0,413.6283,315.018942857,0,304.11402381,8736.6568965,8855.32963007,466.454777087,0,466.454777087
2025-02-01,stochastic,94,15:40-15:50,0.7823,570.11095,375.9729,930.865221429,398.687288095,656.652788095,124.474854762,0,0,375.9729,318.612904762,0,338.039883333,8855.32963007,8967.35699936,513.699476127,0,513.699476127
2025-02-01,stochastic,95,15:50-16:00,0.8055,548.75,328.93125,918.586190476,342.978571429,712.771071429,137.163452381,0,0,328.93125,356.982202381,0,355.788869048,8967.35699936,9090.8041065,574.137098036,0,574.137098036
2025-02-01,stochastic,96,16:00-16:10,0.8271,554.0824,281.17405,910.473683333,290.7261,738.411911905,118.664328571,0,0,281.17405,391.572678571,0,346.839233333,9090.8041065,9197.60200222,610.740492336,0,610.740492336
2025-02-01,stochastic,97,16:10-16:20,0.8519,559.036066667,240.441516667,909.419119048,240.156845238,798.064740476,128.802466667,0,0,240.441516667,447.397016667,0,350.66772381,9197.60200222,9313.52422222,679.871352412,0,679.871352412
2025-02-01,stochastic,98,16:20-16:30,0.8791,563.106666667,202.3625,911.179761905,189.53125,848.970238095,127.32172619,0,0,202.3625,488.065892857,0,360.904345238,9313.52422222,9428.11377579,746.32973631,0,746.32973631
2025-02-01,stochastic,99,16:30-16:40,0.9024,580.2863,155.519033333,906.88697381,139.672352381,892.260597619,125.04597619,0,0,155.519033333,549.813242857,0,342.447354762,9428.11377579,9540.65515436,805.175963291,0,805.175963291
2025-02-01,stochastic,100,16:40-16:50,0.9163,532.818016667,106.711466667,891.543009524,92.2655738095,937.211409524,137.93397381,0,0,106.711466667,564.04052381,0,373.170885714,9540.65515436,9664.79573079,858.766814547,0,858.766814547
2025-02-01,stochastic,101,16:50-17:00,0.9264,446.78,59.70625,872.817857143,48.2741071429,993.465178571,168.921428571,0,0,59.70625,555.995178571,0,437.47,9664.79573079,9816.8250165,920.346141429,0,920.346141429
2025-02-01,stochastic,102,17:00-17:10,0.9462,433.543516667,15.8974333333,865.231445238,11.0778619048,1027.56354762,173.409964286,0,0,15.8974333333,591.056047619,0,436.5075,9816.8250165,9972.89398436,972.280628757,0,972.280628757
2025-02-01,stochastic,103,17:10-17:20,0.9742,439.7808,0,864.798952381,0,1022.3108881,157.511935714,0,0,0,597.292735714,0,425.018152381,9972.89398436,10114.6547265,995.935267182,0,995.935267182
2025-02-01,stochastic,104,17:20-17:30,0.9862,436.136666667,0,877.688095238,0,1046.93857143,169.25047619,0,0,0,605.387142857,0,441.551428571,10114.6547265,10266.9801551,1032.49081914,0,1032.49081914
2025-02-01,stochastic,105,17:30-17:40,0.976,445.995166667,0.68945,895.953688095,0.661535714286,1078.04895714,182.756804762,0,0,0.68945,628.062521429,0,449.986435714,10266.9801551,10431.4612794,1052.17578217,0,1052.17578217
2025-02-01,stochastic,106,17:40-17:50,1.0742,439.892633333,0,804.264402381,0,938.287142857,134.022740476,0,0,0,573.91537381,0,364.371769048,10431.4612794,10552.0817458,1007.90804886,0,1007.90804886
2025-02-01,stochastic,107,17:50-18:00,1.2313,428.47,0,658.024285714,0,718.015,59.9907142857,0,0,0,488.460714286,0,229.554285714,10552.0817458,10606.0733886,884.0918695,0,884.0918695
2025-02-01,stochastic,108,18:00-18:10,1.2561,454.18455,0.0495,639.689388095,0.0474952380952,691.191985714,51.5500928571,0,0,0.0495,505.685142857,0,185.506842857,10606.0733886,10652.4684722,868.206253256,0,868.206253256
2025-02-01,stochastic,109,18:10-18:20,1.2447,472.265316667,0,653.73485,0,705.047276902,51.3124269024,0,0,0,523.577743569,0,181.469533333,10652.4684722,10698.6496564,877.57234556,0,877.57234556
2025-02-01,stochastic,110,18:20-18:30,1.2545,454.168333333,0,642.029047619,0,703.290238095,61.2611904762,0,0,0,515.42952381,0,187.860714286,10698.6496564,10753.7847279,882.27760369,0,882.27760369
2025-02-01,stochastic,111,18:30-18:40,1.2522,418.376183333,0.00355,643.603711905,0.0034119047619,694.950602381,51.350302381,0,0,0.00355,469.722935714,0,225.227666667,10753.7847279,10800,870.217144301,0,870.217144301
2025-02-01,stochastic,112,18:40-18:50,1.2881,414.082233333,0,650.286078571,0,484.087063026,0,-0,0,0,414.082233333,0,70.0048296929,10800,10800,623.552545884,0,623.552545884
2025-02-01,stochastic,113,18:50-19:00,1.3466,432.138333333,0,649.730238095,0,0,0,432.138333333,3.41060513165e-13,0,0,0,0,10800,10319.8462963,0,2.29636043514e-12,2.29636043514e-12
2025-02-01,stochastic,114,19:00-19:10,1.3523,424.014366667,0.00025,642.045961905,0.000242857142857,0,0,424.014116667,5.68434188608e-13,0.000249999999994,0,5.91172076569e-15,0,10319.8462963,9848.7195,0,3.84346776627e-12,3.84346776627e-12
2025-02-01,stochastic,115,19:10-19:20,1.3445,442.412466667,0,641.209866667,0,0,0,442.412466667,1.70530256582e-13,0,0,0,0,9848.7195,9357.15009259,0,1.14638964988e-12,1.14638964988e-12
2025-02-01,stochastic,116,19:20-19:30,1.3483,483.746666667,0,649.780714286,0,0,0,483.746666667,0,0,0,0,0,9357.15009259,8819.6537963,0,0,0
2025-02-01,stochastic,117,19:30-19:40,1.349,481.184466667,0,656.73822381,0,0,0,481.184466667,2.27373675443e-13,0,0,0,0,8819.6537963,8285.00438889,0,1.53363544086e-12,1.53363544086e-12
2025-02-01,stochastic,118,19:40-19:50,1.3473,444.765933333,0,656.262571429,0,0,0,444.765933333,0,0,0,0,0,8285.00438889,7790.82001852,0,0,0
2025-02-01,stochastic,119,19:50-20:00,1.3482,418.095,0,652.331904762,0,0,0,418.095,0,0,0,0,0,7790.82001852,7326.27001852,0,0,0
2025-02-01,stochastic,120,20:00-20:10,1.3513,436.740516667,0,653.887390476,0,0,0,436.740516667,0,0,0,0,0,7326.27001852,6841.00277778,0,0,0
2025-02-01,stochastic,121,20:10-20:20,1.34,452.69785,0,656.581538095,0,0,0,452.69785,1.70530256582e-13,0,0,0,0,6841.00277778,6338.00516667,0,1.1425527191e-12,1.1425527191e-12
2025-02-01,stochastic,122,20:20-20:30,1.3489,449.968333333,0,657.21952381,0,0,0,449.968333333,3.41060513165e-13,0,0,0,0,6338.00516667,5838.04035185,0,2.30028263104e-12,2.30028263104e-12
2025-02-01,stochastic,123,20:30-20:40,1.3952,455.0667,0,657.256930952,0,0,0,455.0667,0,0,0,0,0,5838.04035185,5332.41068519,0,0,0
2025-02-01,stochastic,124,20:40-20:50,1.2226,454.012366667,0,658.348842857,0,707.333740476,0,-0,0,0,454.012366667,0,253.32137381,5332.41068519,5332.41068519,864.786231106,0,864.786231106
2025-02-01,stochastic,125,20:50-21:00,0.9332,459.405,0,659.05047619,0,733.413095238,0,-0,0,0,459.405,0,274.008095238,5332.41068519,5332.41068519,684.421100476,0,684.421100476
2025-02-01,stochastic,126,21:00-21:10,0.9068,497.420766667,0,656.185669048,0,723.002792857,0,-0,0,0,497.420766667,0,225.58202619,5332.41068519,5332.41068519,655.618932563,0,655.618932563
2025-02-01,stochastic,127,21:10-21:20,0.9371,503.283133333,0,652.55182619,0,728.865440476,0,-0,0,0,503.283133333,0,225.582307143,5332.41068519,5332.41068519,683.01980427,0,683.01980427
2025-02-01,stochastic,128,21:20-21:30,0.9371,477.556666667,0,663.862857143,0,741.865,0,-0,0,0,477.556666667,0,264.308333333,5332.41068519,5332.41068519,695.2016915,0,695.2016915
2025-02-01,stochastic,129,21:30-21:40,0.9871,479.13595,0,691.347809524,0,747.648564286,52.9571300091,0,0,0,532.093080009,0,215.555484277,5332.41068519,5380.07210219,738.003897806,0,738.003897806
