plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtailment_kwh,unused_plan_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,emergency_intervals,date,method,solver_method,solver_success,solver_status_code,mip_gap,surrogate_objective_yuan,dual_bound_yuan,lp_lower_bound_yuan,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,binary_history,model_build_seconds,model_solve_seconds,model_max_constraint_violation,source_day_count,source_day_max,source_causal,plan_frozen,physical_checks_passed
84067.8295156,5505.3171554,15353.1101186,12272.1721991,155.928716667,11115.6829016,52739.6579561,30131.5981546,82871.2561108,1200,1382.05221881,39,2025-02-11,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,7.23950904245e-06,54886.4740897,54886.0767386,54809.3197266,39,1,720,2880,0>720,0.0335421,4.0762152,8.18545231596e-11,20,40,True,True,True
82872.9624309,6442.4250769,14204.4993546,11650.1289648,301.595919018,11192.6850657,51974.7055122,36001.0113836,87975.7168958,1382.05221881,1221.51389929,48,2025-02-12,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,1.4544819639e-05,53812.2270307,53811.4443416,53733.2211145,39,1,720,2880,0>720,0.0335210000003,4.5201129,2.25213625527e-10,20,41,True,True,True
82246.8010233,4003.75567423,15198.5681899,12164.7872435,695.705005761,11191.5917286,51448.3007911,21834.4919832,73282.7927743,1221.51389929,1383.79499966,40,2025-02-13,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,2.16310095027e-05,53324.6144028,53323.4609375,53234.8094336,46,1,720,2880,0>720,0.0334245000004,3.9012726,7.4248873716e-10,20,42,True,True,True
80450.4212976,2.84217094304e-12,13695.9824606,6878.0538224,10184.596714,33646.0941287,50134.4681406,1.82271833182e-11,50134.4681406,1383.79499966,6067.89718929,0,2025-02-14,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000176421001807,52158.7956061,52149.5936991,52078.2206507,54,1,720,2880,0>720,0.0326574000005,4.083086,2.01703187486e-09,20,42,True,True,True
75314.0215128,3.12283532367e-12,8403.68595527,6832.52828805,10531.2085317,33931.5642139,47938.7652632,1.70992109361e-11,47938.7652632,6067.89718929,6039.51645119,0,2025-02-15,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,6.65967325675e-05,49983.1720709,49979.8433549,49911.9728432,38,1,720,2880,0>720,0.0333298000005,3.2420141,7.20092430129e-10,20,43,True,True,True
74475.9950535,6832.16634607,10040.0389839,12437.8378396,6.05420119419e-14,8328.58115532,47342.7302565,38033.0751241,85375.8053806,6039.51645119,1255.73171492,41,2025-02-16,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000615451680174,49291.4530614,49261.1165538,49178.1436056,41,1,864,2880,0>864,0.0329928000001,3.4694997,5.61612978345e-10,20,43,True,True,True
79638.9724031,4991.17430006,14641.3184855,11909.6265167,464.888145885,10249.7034218,49418.0133292,27437.3956182,76855.4089474,1255.73171492,1200,47,2025-02-17,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,7.82066095824e-05,51301.1469053,51297.1348165,51222.3036908,43,1,720,2880,0>720,0.0334721999998,3.106831,1.45678313856e-09,20,46,True,True,True
78814.0515843,6077.56309503,14411.6564456,11534.8341993,159.258158154,9764.14649156,48893.9590889,33901.7553328,82795.7144216,1200,1354.00835735,44,2025-02-18,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000153469631576,50931.2964926,50923.4800853,50877.1936453,45,1,720,2880,0>720,0.0327448000003,3.5874364,7.3850969784e-10,20,44,True,True,True
78251.0183324,8230.51762975,14004.1076679,11481.9347326,618.304214363,10461.7314292,48465.2676906,43217.2579273,91682.5256179,1354.00835735,1200,64,2025-02-19,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000128151762431,50431.5057519,50425.0428656,50347.1892043,47,1,720,2880,0>720,0.0333242999995,4.3405764,7.66249286244e-11,20,48,True,True,True
77770.897387,5939.19407058,15070.6720108,12051.2058476,184.92325,9512.56831109,48076.6607958,31301.0696371,79377.7304329,1200,1373.37609015,55,2025-02-20,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,5.96930566591e-05,50090.7575437,50087.7674733,49839.0932674,62,1,576,2880,0>576,0.0319581999997,3.4543424,4.54747350886e-12,20,49,True,True,True
77003.5637427,2.02793337678e-12,13423.140782,6655.54385089,12638.4035286,32037.3012497,47786.8444892,1.26136093792e-11,47786.8444892,1373.37609015,6059.15407071,0,2025-02-21,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,2.03662859673e-05,49506.8966683,49505.8883967,49394.9922725,32,1,720,2880,0>720,0.0329036999997,3.5820423,1.33468347485e-10,20,50,True,True,True
71570.0927128,4.07140987591e-12,8729.40743893,7133.85915355,10904.2020688,31225.5794753,45225.0787256,2.52158258718e-11,45225.0787256,6059.15407071,5989.11059513,0,2025-02-22,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,9.69729840145e-05,47080.8329832,47076.2674143,46980.274651,32,1,576,2880,0>576,0.0336354000001,4.1211363,2.93664389603e-09,20,51,True,True,True
71500.887424,6464.57892777,9508.0165074,12004.6390885,352.622366667,8577.61288286,45198.0803918,35620.106,80818.1863918,5989.11059513,1207.83757564,47,2025-02-23,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,9.07577170037e-06,47123.0828687,47122.6551903,47063.3092733,35,1,720,2880,0>720,0.0351122000002,4.0417886,1.7166712496e-11,20,52,True,True,True
75724.361188,5163.42973242,14699.4266825,11913.4901818,594.1383,9304.68250309,46720.7565716,28943.6994188,75664.4559904,1207.83757564,1200.11027677,46,2025-02-24,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,2.34926483155e-05,48561.7572606,48560.6164163,48467.1621408,33,1,576,2880,0>576,0.0324264000001,3.5517562,7.75685293775e-10,20,53,True,True,True
75365.8074106,4487.42278713,15092.6542417,12211.3020864,1665.08532676,9485.4694823,46547.4820032,24110.5840065,70658.0660097,1200.11027677,1215.385665,47,2025-02-25,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00020359776766,48458.2661664,48448.4001716,48351.3292554,43,1,720,2880,0>720,0.0331673999995,3.9846606,3.99609234591e-10,20,53,True,True,True
74305.2919681,6588.85469998,13801.981905,11059.1079662,811.943029259,8524.48166667,45895.7394075,35724.1143238,81619.8537314,1215.385665,1349.27163929,58,2025-02-26,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,3.2132312606e-05,47830.6120927,47829.0751845,47725.8918022,35,2,720,2880,0>576>720,0.0508904000003,6.8589487,7.0258465712e-11,20,54,True,True,True
73572.6673737,6995.73274586,14831.7738625,11798.140217,1709.16483333,8869.01744077,45350.0381252,38178.6842308,83528.7223561,1349.27163929,1588.82342992,52,2025-02-27,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,3.90110671466e-05,47229.9434272,47228.1009367,47136.9941348,35,1,720,2880,0>720,0.0331252000005,3.3831048,1.3703811419e-09,20,56,True,True,True
72487.5507767,2.43716158366e-12,14117.6430947,7384.22450116,13471.6002892,28989.9383439,44794.730781,1.54489221416e-11,44794.730781,1588.82342992,6090.008325,0,2025-02-28,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,7.07196833427e-05,46665.3317113,46662.0315538,46589.7187209,28,1,576,2880,0>576,0.0318577999992,3.953372,2.23531060328e-09,20,57,True,True,True
67628.6971121,2.02149408324e-12,9042.36267445,7374.8674323,12095.0129537,30207.4229829,42592.2490417,1.21486181115e-11,42592.2490417,6090.008325,6033.837585,0,2025-03-01,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000203392774677,44561.0068082,44551.9434213,44383.9332379,39,1,576,2880,0>576,0.0346899000001,3.0124793,9.77161107585e-09,20,57,True,True,True
66861.752594,10226.2167463,7101.24304178,10073.5464393,139.278333333,7562.68733777,42063.9075106,58178.0064157,100241.913926,6033.837585,1232.12694563,59,2025-03-02,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,4.60719836575e-08,44070.1633634,44070.161333,43973.4366482,26,1,576,2880,0>576,0.0332185999996,2.7947075,1.87157411347e-07,20,59,True,True,True
72411.6618007,10179.2052498,13365.1368331,10741.482544,74.2307666667,7875.83536132,44507.7080637,55282.1512447,99789.8593085,1232.12694563,1325.76949103,60,2025-03-03,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,1.89590959438e-05,46459.1367478,46458.2559246,46383.5504539,27,2,720,2880,0>576>720,0.0506032999997,6.6010285,5.16820364282e-10,20,58,True,True,True
73644.8245823,6782.10158721,14053.2711061,11381.6528216,252.606966667,8303.24298507,45369.6835263,37857.7321531,83227.4156794,1325.76949103,1327.4325736,40,2025-03-04,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000400969208344,48630.1283806,48610.6291965,48373.4141165,44,1,720,2880,0>720,0.0347025999999,3.5130947,3.79932380686e-10,20,61,True,True,True
73831.5896434,5351.17361774,15100.8421995,12247.346643,1020.15076667,9178.64492129,45375.2454933,29035.6357807,74410.881274,1327.4325736,1310.02761648,45,2025-03-05,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00025396300973,48764.0068974,48751.6226434,48552.5466842,60,1,720,2880,0>720,0.0310643999997,3.6962665,2.01680450118e-09,20,61,True,True,True
72549.9873305,5431.98514683,15367.8571903,12400.3704194,961.093333333,8112.73823973,44462.1994342,30266.0267886,74728.2262228,1310.02761648,1362.90973286,53,2025-03-06,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,3.48251162773e-05,47116.2203047,47114.5794768,46955.2172509,48,1,720,2880,0>720,0.0331293999998,3.5582958,1.09025677375e-10,20,63,True,True,True
73304.6145979,2.84217094304e-12,13990.9649761,7083.26974214,13603.585191,31871.0486397,44899.6380106,1.86373085853e-11,44899.6380106,1362.90973286,6084.47849786,0,2025-03-07,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000212185143038,47704.1536654,47694.0315527,47545.8234411,51,1,576,2880,0>576,0.0351661,3.5862077,2.8342128644e-10,20,64,True,True,True
66797.5522072,2.21156426505e-12,8870.95686347,7223.7556029,15316.2578216,30770.9536083,41993.4461909,1.27302799413e-11,41993.4461909,6084.47849786,6041.94456064,0,2025-03-08,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000116023623452,44661.4064371,44656.2246589,44404.6982142,48,1,720,2880,0>720,0.0332510999997,3.6515558,3.90286913898e-10,20,65,True,True,True
67076.062859,4714.83943847,11050.4231792,13171.5331924,959.125852381,9619.36140828,41870.1371654,24737.076079,66607.2132443,6041.94456064,1352.28854149,42,2025-03-09,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000335126142479,45043.0729418,45027.9778305,44834.629263,55,1,720,2880,0>720,0.0333114999999,3.9847408,4.80213202536e-10,20,66,True,True,True
70955.2157534,7741.23929537,13308.337853,10882.0381259,136.74665,8091.33722169,43429.7323623,41888.734641,85318.4670033,1352.28854149,1238.63913593,60,2025-03-10,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000533682901522,46549.5762136,46524.7335007,46215.462031,59,1,720,2880,0>720,0.0328618999993,3.9263095,3.25485416397e-10,20,66,True,True,True
70745.5840534,6023.14799101,14682.4979795,11597.9875686,1042.90546605,8702.39736745,43030.9028103,33036.1408325,76067.0436429,1238.63913593,1566.23446347,52,2025-03-11,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000376222320944,45810.1984947,45792.9636755,45605.2340967,53,1,720,2880,0>720,0.0332920999999,3.3929803,9.89075488178e-12,20,68,True,True,True
69816.339027,5797.55230233,14450.8247452,12034.7790607,1596.2258,9166.0851615,42528.4584169,30613.5933501,73142.051767,1566.23446347,1200,56,2025-03-12,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000836289517506,45482.3519561,45444.3155419,45239.0895191,67,1,720,2880,0>720,0.0327333,3.2919668,1.49952938955e-10,20,69,True,True,True
68222.0089066,8851.22340745,12646.7924082,10021.708,8.3011288815e-13,6902.52988925,41668.6166919,49266.0914916,90934.7081835,1200,1446.88205622,57,2025-03-13,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000128371235195,44515.7507183,44510.0361764,44223.2649666,40,1,576,2880,0>576,0.0324252,3.4811245,7.95807864051e-12,20,70,True,True,True
70533.1364199,2.50111042988e-12,14107.623508,7277.53196428,17273.9072616,30399.7116313,42907.8660316,1.40572353757e-11,42907.8660316,1446.88205622,6057.59658643,0,2025-03-14,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000834487205831,46010.4870424,45972.0918797,45803.4096505,61,1,720,2880,0>720,0.0328011000001,9.6820259,3.26281224261e-10,20,71,True,True,True
63757.3496012,1.92201810023e-12,9017.19040198,7400.06415687,13459.7674885,27756.3307175,39706.8525074,1.08855928715e-11,39706.8525074,6057.59658643,5950.77444058,0,2025-03-15,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00026145630552,42610.0446121,42598.9039473,42388.9506945,45,1,720,2880,0>720,0.0334721999998,3.3245868,3.11285930366e-09,20,72,True,True,True
64513.4058835,6548.64011436,8397.59422432,10950.1681051,1715.75574339,8547.81720187,40099.910948,35892.4570565,75992.3680045,5950.77444058,1341.75579238,48,2025-03-16,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000242237577323,43083.8454071,43073.4088808,42860.2105116,46,1,720,2880,0>720,0.0380770000002,4.9075444,3.06499714497e-10,20,73,True,True,True
68650.067089,3711.85230185,14793.472842,11827.9191387,2477.02201173,9061.21224247,41676.3237279,20014.752472,61691.0761999,1341.75579238,1513.74897383,32,2025-03-17,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000123437600816,44306.1481892,44300.6791445,43988.8137546,48,1,576,2880,0>576,0.0354277000001,3.6352659,7.54073425924e-09,20,74,True,True,True
66797.3169513,6019.47965417,14927.8180337,12223.579636,1285.99616433,7700.60367681,40562.532191,31496.329127,72058.861318,1513.74897383,1367.030053,48,2025-03-18,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000100551448461,43146.5444374,43142.2059898,42870.8156923,54,1,720,2880,0>720,0.0383529999999,3.620942,8.78799255588e-11,20,73,True,True,True
67651.9803192,5600.99021553,14360.8718169,11505.3430863,1882.52436116,9049.44699296,41098.2572017,29623.0286802,70721.2858819,1367.030053,1508.10014786,36,2025-03-19,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000630852398048,44024.4471687,43996.6742406,43736.2901758,61,1,720,2880,0>720,0.0386473999997,4.0138855,7.03721525497e-11,20,76,True,True,True
66048.7524615,7243.00959982,13032.146726,10543.4220194,1077.41550705,7516.66003103,40053.4958473,39728.8788047,79782.374652,1508.10014786,1522.11884635,58,2025-03-20,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,9.91348434607e-05,42966.4925954,42962.2331189,42654.1325534,39,1,720,2880,0>720,0.0448726,4.282212,1.25282895169e-10,20,77,True,True,True
66894.910787,3.12638803734e-12,14210.3916916,7402.64562728,20741.6616488,27312.0385572,40624.919953,1.89051831967e-11,40624.919953,1522.11884635,6086.30956071,0,2025-03-21,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000521624118343,43349.3577804,43326.7457099,43143.6908298,58,1,720,2880,0>720,0.0341943000003,3.5937163,5.61044544156e-10,20,76,True,True,True
58347.1116361,2.57216470345e-12,9013.38396967,7372.35321405,16854.5189558,23970.3621913,36570.6471806,1.36058275757e-11,36570.6471806,6086.30956071,6006.85156225,0,2025-03-22,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00044162374012,39378.1789555,39360.7886169,39073.9971269,32,1,576,2880,0>576,0.0356542,3.9276828,1.50066625793e-11,20,78,True,True,True
59777.2815523,5203.06134046,10002.219744,12312.0821407,1337.92731667,7182.55785614,37158.8590789,26068.772778,63227.6318569,6006.85156225,1328.75806444,50,2025-03-23,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000221454749257,39822.1180579,39813.2992607,39575.2421927,36,1,576,2880,0>576,0.0346601000001,10.1085767,2.88650880975e-10,20,80,True,True,True
65647.73795,6429.34885938,13059.5549301,10694.1217514,2753.0463,8960.11024733,39780.7417328,34603.8712389,74384.6129717,1328.75806444,1200,50,2025-03-24,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000867263939526,42204.3127072,42167.7104287,41955.7722305,60,1,720,2880,0>720,0.216665399999,22.9704955,2.2851054382e-11,20,80,True,True,True
64566.7648354,6961.7349436,13519.5804861,10944.3380413,690.856016667,7312.27660087,39154.5006867,37211.7169667,76366.2176534,1200,1207.24683599,57,2025-03-25,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000448195162241,42106.1537539,42087.2819795,41580.426731,57,1,720,2880,0>720,0.2083097,22.1906451,1.33609790418e-09,20,82,True,True,True
64548.6819034,5559.39649899,13398.1795975,10763.1262019,3968.21019315,7912.259947,39191.9194125,30045.6136317,69237.5330442,1207.24683599,1306.57936053,41,2025-03-26,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000474113026869,41979.356352,41959.4533923,41630.6729302,54,1,720,2880,0>720,0.2126314,20.1385307,6.36418917566e-10,20,83,True,True,True
65208.3780058,7239.01015403,11994.3126512,9631.8265553,2166.42516487,9201.487499,39463.7172336,39520.3231597,78984.0403933,1306.57936053,1399.43124075,49,2025-03-27,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000561692495144,41713.8369156,41690.4065664,41485.4357295,51,1,576,2880,0>576,0.2215051,12.3515834,7.6693140727e-10,20,83,True,True,True
64716.2444031,3.82271991839e-12,13997.5418854,7143.54447898,20908.7900512,26131.5761789,39043.3812656,2.27623786486e-11,39043.3812656,1399.43124075,6059.94729429,0,2025-03-28,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000707276504408,41244.8733656,41215.7018357,41020.8434047,43,1,720,2880,0>720,0.0360247000003,4.2542067,1.57342583407e-10,20,83,True,True,True
58260.9330275,1.86162196769e-12,8975.3634563,7292.29685082,24631.5849299,24239.0723088,36059.5638738,1.06625677176e-11,36059.5638738,6059.94729429,6035.22234849,0,2025-03-29,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000582728713199,38639.182246,38616.6660851,38385.7888393,39,1,720,2880,0>720,0.0342997000002,3.2967821,2.42152964347e-11,20,86,True,True,True
56976.7233536,5706.04210355,8422.1620047,11093.0457467,3099.93611667,6908.09338253,35257.7548738,31671.0837704,66928.8386442,6035.22234849,1289.56176749,38,2025-03-30,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000129377890636,37859.1663703,37854.2682313,37535.1271362,35,1,576,2880,0>576,0.0361843999999,3.4983003,1.14710019261e-10,20,87,True,True,True
62068.7162843,6875.35800427,11503.6296873,9102.16223108,3119.5804,6471.636949,37489.0542424,39919.5011275,77408.55537,1289.56176749,1529.31489598,48,2025-03-31,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000324574696657,40135.0075059,40121.980698,39968.7010418,41,1,576,2880,0>576,0.1342757,22.5403359,1.11117515189e-09,20,88,True,True,True
61178.4593758,7880.18078018,10914.7314041,8952.13830695,1074.64661667,5812.54892542,36979.9743938,44768.0763646,81748.0507585,1529.31489598,1405.75281865,56,2025-04-01,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000114125591963,39157.7268888,39153.2579901,38973.0928923,34,1,432,2880,0>432,0.20509,20.5439991,3.86535248253e-12,20,89,True,True,True
58971.1911473,8816.43940977,12530.3819314,10208.5179957,750.752333333,4279.67888803,35651.150412,47706.6898143,83357.8402263,1405.75281865,1340.29878389,51,2025-04-02,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,2.819230709e-05,38340.4030655,38339.3221611,38020.2684364,25,1,432,2880,0>432,0.1682759,19.928267,8.62883098307e-11,20,88,True,True,True
62173.5559078,7079.2245445,13471.6287032,10871.5929077,3332.05402722,7457.16036285,37167.3626785,38266.5874303,75433.9501088,1340.29878389,1385.21694158,46,2025-04-03,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000256189499516,39833.2487534,39823.0438933,39541.2281829,41,1,576,2880,0>576,0.212121799999,26.0192492,1.84252257895e-09,20,91,True,True,True
61943.9847408,2.7142732506e-12,14445.9452181,7476.66659299,24298.8443966,24245.0594691,37190.7844933,1.63841562539e-11,37190.7844933,1385.21694158,6079.16031231,0,2025-04-04,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000570956734221,39690.4839208,39667.8223717,39499.007422,48,1,576,2880,0>576,0.243516399999,19.9441368,5.18411980011e-11,20,92,True,True,True
55826.7535387,2.55795384874e-12,8892.87342156,7252.23571354,19696.6490049,22445.3518425,34391.8723196,1.62676485616e-11,34391.8723196,6079.16031231,6024.70671,0,2025-04-05,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000125943281823,36949.8046564,36945.1510768,36662.7282581,35,1,720,2880,0>720,0.2111151,19.8721885,1.88151716429e-10,20,92,True,True,True
56758.9581954,5599.09341038,8805.91830082,11325.656452,3219.56078756,7248.15270273,34825.4295572,30318.1878588,65143.617416,6024.70671,1365.97045634,42,2025-04-06,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000353993981897,36935.9392296,36922.8641294,36758.6391747,40,1,576,2880,0>576,0.1911097,21.211771,1.81898940355e-11,20,94,True,True,True
62900.472292,5636.66844394,12621.6231683,10372.8881771,4813.24063333,8232.44582801,37485.2704756,30982.0161289,68467.2866045,1365.97045634,1200,47,2025-04-07,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000258225826972,39632.781974,39622.5477661,39458.2153067,45,2,720,2880,0>576>720,0.3377933,40.6244419,2.74326339422e-10,20,94,True,True,True
62718.7378215,6642.83380644,13677.6450895,11078.8925225,3501.70977619,8907.91566805,37277.9404593,35373.0605187,72651.000978,1200,1200,54,2025-04-08,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000227502112055,39313.7536804,39304.8097184,39129.9577544,45,1,576,2880,0>576,0.230025100001,20.3411338,7.38964445191e-11,20,96,True,True,True
59119.0607225,8938.69250969,11102.8487372,8924.43907388,1526.95341667,5218.07913554,35580.7094645,49926.6797864,85507.3892509,1200,1276.52044804,53,2025-04-09,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000484039263852,38128.7013804,38110.2455919,37925.3966397,41,1,576,2880,0>576,0.219178,20.1468038,1.44150272622e-10,20,97,True,True,True
60078.1739588,6925.9193202,13091.0724307,10275.9925322,3323.48206242,6404.89341803,36124.3562884,37538.6379537,73662.9942421,1276.52044804,1640.71615547,53,2025-04-10,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0,38547.0204286,38547.0204286,38249.2067089,28,2,720,2880,0>576>720,0.3341463,30.6245044,8.54925019667e-11,20,98,True,True,True
